;;Catálogo de indicadores económicos disponibles a consultar;
47216;                         Grupo GF0202 (Defensa Civil);Grupo GF0202 (Defensa Civil);Anual
47217;                         Grupo GF0203 (Ayuda ext militar);Grupo GF0203 (Ayuda ext militar);Anual
47218;                         Grupo GF0204 (Defensa R&D);Grupo GF0204 (Defensa R&D);Anual
47219;                         Grupo GF0205 (Defensa n.e.c);Grupo GF0205 (Defensa n.e.c);Anual
47220;                    División GF03 (Seguridad y orden público);División GF03 (Seguridad y orden público);Anual
47221;                         Grupo GF0301 (Servicios policiales);Grupo GF0301 (Servicios policiales);Anual
47222;                         Grupo GF0302 (Servicios contra incendios);Grupo GF0302 (Servicios contra incendios);Anual
47223;                         Grupo GF0303 (Tribunales de justicia);Grupo GF0303 (Tribunales de justicia);Anual
47224;                         Grupo GF0304 (Prisiones);Grupo GF0304 (Prisiones);Anual
47225;                         Grupo GF0305 (Seguridad y orden público R&D);Grupo GF0305 (Seguridad y orden público R&D);Anual
47226;                         Grupo GF0306 (Seguridad y orden público n.e.c);Grupo GF0306 (Seguridad y orden público n.e.c);Anual
47227;                    División GF04 (Asuntos económicos);División GF04 (Asuntos económicos);Anual
47228;                         Grupo GF0401 (Econ general, asunt com y lab);Grupo GF0401 (Econ general, asunt com y lab);Anual
47229;                         Grupo GF0402 (Agricult, silvicult, pesca y caza);Grupo GF0402 (Agricult, silvicult, pesca y caza);Anual
47230;                         Grupo GF0403 (Combustible y energía);Grupo GF0403 (Combustible y energía);Anual
47231;                         Grupo GF0404 (Minería, manufactura y const);Grupo GF0404 (Minería, manufactura y const);Anual
47232;                         Grupo GF0405 (Transporte);Grupo GF0405 (Transporte);Anual
47233;                         Grupo GF0406 (Comunicación);Grupo GF0406 (Comunicación);Anual
47234;                         Grupo GF0407 (Otras industrias);Grupo GF0407 (Otras industrias);Anual
47235;                         Grupo GF0408 (Asuntos económicos R&D);Grupo GF0408 (Asuntos económicos R&D);Anual
47236;                         Grupo GF0409 (Asuntos económicos n.e.c);Grupo GF0409 (Asuntos económicos n.e.c);Anual
47237;                    División GF05 (Protección Ambiental);División GF05 (Protección Ambiental);Anual
47238;                         Grupo GF0501 (Manejo de residuos);Grupo GF0501 (Manejo de residuos);Anual
47239;                         Grupo GF0502 (Gestión de aguas residuales);Grupo GF0502 (Gestión de aguas residuales);Anual
47240;                         Grupo GF0503 (Reducción de contaminación);Grupo GF0503 (Reducción de contaminación);Anual
47241;                         Grupo GF0504 (Protecc por la biodiv y paisaje );Grupo GF0504 (Protecc por la biodiv y paisaje );Anual
47242;                         Grupo GF0505 (R&D Protection Ambiental);Grupo GF0505 (R&D Protection Ambiental);Anual
47243;                         Grupo GF0506 (Protección ambiental n.e.c);Grupo GF0506 (Protección ambiental n.e.c);Anual
47244;                    División GF06 (Vivienda y serv a comunidd);División GF06 (Vivienda y serv a comunidd);Anual
47245;                         Grupo GF0601 (Urbanización );Grupo GF0601 (Urbanización );Anual
47246;                         Grupo GF0602 (Desarrollo comunitario);Grupo GF0602 (Desarrollo comunitario);Anual
47247;                         Grupo GF0603 (Suministro de agua);Grupo GF0603 (Suministro de agua);Anual
47248;                         Grupo GF0604 (Alumbrado público);Grupo GF0604 (Alumbrado público);Anual
47249;                         Grupo GF0605 (R&D Viviendas y servicios a com);Grupo GF0605 (R&D Viviendas y servicios a com);Anual
47250;                         Grupo GF0606 (Protección ambiental n.e.c);Grupo GF0606 (Protección ambiental n.e.c);Anual
47251;                    División GF07 (Salud);División GF07 (Salud);Anual
47252;                         Grupo GF0701 (Productos medicos, equip y acc);Grupo GF0701 (Productos medicos, equip y acc);Anual
47253;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);Anual
47254;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);Anual
47255;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);Anual
47256;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);Anual
47257;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);Anual
47258;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);Anual
